venue,date,what,department,days_committed,av_staff,pac_staff,support_level,audio_needs,stage_needs,lighting_needs,projection,video_recording,live_stream,audience_count,poster,program,reception,term,livestream,department_type,event_type,year,term_category
Kracum,2023-05-14,GUEST:  Bamako Foli Concert,MUSC,2,4,6,M,L,L,L,N,Y,NA,135,Y,N,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-09-29,GUEST: Laura Viers - Concert (guitar & voice),MUSC,1,3,5,L,M,L,M,N,Y,NA,50,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-06,GUEST: Sequentia - Concert (voice),HIST & ODOA & MUSC,2,3,6,L,L,L,L,Y,Y,NA,187,Y,Y,N,F23,N,Collab,Guest,2023-2024,Fall
Kracum,2023-10-08,"GUEST: Helen Chang Concert (violin, piano, cello)",MUSC,2,2,6,L,L,L,L,N,Y,NA,43,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-19,GUEST: SPCO - Concert,MUSC,1,2,5,M,L,H,L,N,N,NA,260,Y,N,N,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-29,GUEST: Voces8 - Concert,MUSC,1,2,9,H,L,H,H,N,Y,NA,277,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-31,GUEST: Sophie Lukacs Concert (kora),MUSC & ODOA,1,0,1,L,L,L,L,NA,NA,NA,60,N,N,N,F23,NA,Collab,Guest,2023-2024,Fall
Kracum,2024-01-18,GUEST: Vijay Iyer Trio - Concert,MUSC,2,2,7,M,H,M,L,N,N,NA,200,Y,Y,Y,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-01,GUEST: Adam Levy Trio - Concert,MUSC,1,5,4,M,H,M,L,N,Y,NA,95,Y,Y,N,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-18,"Chinese Music Concert w/ GUESTS (erhu, guzheng)",MUSC,2,4,4,H,H,H,L,N,Y,NA,196,Y,Y,N,W24,Y,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-23,GUEST: fivebyfive,MUSC,1,4,5,H,M,H,M,Y,Y,NA,130,Y,Y,N,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-04-05,GUEST: Susanne Farrin & EDN - Concert,MUSC,3,4,6,H,H,M,H,N,Y,NA,50,N,N,Y,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-04-12,GUEST: Christopher Taylor - Concert (piano),MUSC,2,3,5,L,L,M,L,N,Y,NA,133,Y,Y,N,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-04-20,GUEST: Les Arrivants,MUSC,1,3,6,M,H,M,L,N,Y,NA,55,Y,Y,N,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-05-11,GUEST: Charlie Parr,MUSC,1,3,4,M,M,M,L,N,N,NA,27,N,N,Y,S24,N,MUSC,Guest,2023-2024,Spring
